id,motif,probability,motif_index
64,163,0.5556097626686096,1
64,169,0.4273858070373535,2
64,118,0.0067533887922763824,3
64,100,0.0045328387059271336,4
64,165,0.004514629486948252,5
65,199,0.9568697214126587,1
65,92,0.03203409165143967,2
65,183,0.007158599328249693,3
66,18,0.5107451677322388,1
66,28,0.3738221228122711,2
66,106,0.04999634623527527,3
66,141,0.04782251641154289,4
66,121,0.015227416530251503,5
67,138,0.6788985133171082,1
67,175,0.15176382660865784,2
67,112,0.15170913934707642,3
67,165,0.014955633319914341,4
68,187,0.7954741716384888,1
68,51,0.09341847896575928,2
68,18,0.08320830017328262,3
68,198,0.02482074871659279,4
69,132,0.3714722692966461,1
69,97,0.3340633809566498,2
69,64,0.2917040288448334,3
70,51,0.8981466889381409,1
70,187,0.0468643456697464,2
70,100,0.03912825882434845,3
70,118,0.010425237938761711,4
70,132,0.002624346176162362,5
72,95,0.5165879130363464,1
72,148,0.2876138985157013,2
72,198,0.08657620847225189,3
72,187,0.050266679376363754,4
72,96,0.03351997956633568,5
72,64,0.022368451580405235,6
73,85,0.996867835521698,1
74,73,0.9732344150543213,1
74,188,0.014163855463266373,2
74,193,0.01062436681240797,3
76,39,0.8774475455284119,1
76,193,0.12014742940664291,2
77,96,0.8034674525260925,1
77,34,0.08249771595001221,2
77,64,0.07920892536640167,3
77,198,0.016507064923644066,4
77,106,0.013206343166530132,5
77,95,0.003307596081867814,6
78,18,0.5180878043174744,1
78,9,0.4454871714115143,2
78,166,0.03520609810948372,3
79,2,0.6556708812713623,1
79,58,0.18152828514575958,2
79,86,0.06448116898536682,3
79,73,0.043647654354572296,4
79,56,0.03769702464342117,5
79,64,0.013897811062633991,6
80,58,0.4867890775203705,1
80,163,0.46057257056236267,2
80,56,0.04917561262845993,3
82,47,0.3687518239021301,1
82,39,0.36086171865463257,2
82,132,0.2642488181591034,3
82,100,0.002031587762758136,4
83,9,0.7240935564041138,1
83,64,0.24527870118618011,2
83,117,0.028033969923853874,3
84,96,0.6985125541687012,1
84,4,0.1736804097890854,2
84,64,0.10423703491687775,3
84,115,0.019312525168061256,4
86,190,0.7303925156593323,1
86,97,0.26757314801216125,2
87,180,0.9617936611175537,1
87,136,0.021335897967219353,2
87,18,0.01423352025449276,3
88,193,0.6462497115135193,1
88,51,0.344814270734787,2
88,118,0.0065158214420080185,3
89,30,0.3574589490890503,1
89,95,0.35564273595809937,2
89,132,0.21230639517307281,3
89,51,0.030852442607283592,4
89,18,0.0199742428958416,5
89,47,0.016338346526026726,6
89,100,0.0054983114823699,7
90,63,0.7239754796028137,1
90,56,0.20992796123027802,2
90,86,0.04441400244832039,3
90,58,0.017498768866062164,4
90,97,0.0026944519486278296,5
91,63,0.6279004216194153,1
91,97,0.32360830903053284,2
91,100,0.038688093423843384,3
91,81,0.008060491643846035,4
92,51,0.9947717785835266,1
93,198,0.6541985273361206,1
93,187,0.19958651065826416,2
93,95,0.14415216445922852,3
94,73,0.58841472864151,1
94,192,0.36797425150871277,2
94,64,0.015640225261449814,3
94,100,0.013938344083726406,4
94,132,0.012164104729890823,5
95,63,0.8393407464027405,1
95,193,0.11182864755392075,2
95,64,0.027641089633107185,3
95,188,0.017108159139752388,4
95,117,0.002633948577567935,5
96,95,0.5951762795448303,1
96,118,0.3890584111213684,2
96,193,0.012892979197204113,3
97,34,0.919265866279602,1
97,178,0.05896903574466705,2
97,40,0.008059504441916943,3
97,183,0.0027135047130286694,4
97,29,0.00270049343816936,5
97,38,0.002700331388041377,6
97,62,0.0026910859160125256,7
98,92,0.4354439377784729,1
98,19,0.43100276589393616,2
98,20,0.07776760309934616,3
98,175,0.048938360065221786,4
98,78,0.00450567901134491,5
99,92,0.6934623718261719,1
99,177,0.13972042500972748,2
99,199,0.09762749075889587,3
99,19,0.050505220890045166,4
99,18,0.015162333846092224,5
100,183,0.5994731187820435,1
100,100,0.20717862248420715,2
100,188,0.13543227314949036,3
100,147,0.02789219841361046,4
100,176,0.019922593608498573,5
100,175,0.008022942580282688,6
101,19,0.7355937361717224,1
101,183,0.12397675961256027,2
101,140,0.07519309222698212,3
101,198,0.058938682079315186,4
101,78,0.002089158399030566,5
101,33,0.0020461587700992823,6
102,199,0.3920854926109314,1
102,100,0.2701184153556824,2
102,177,0.2077537626028061,3
102,165,0.11947724968194962,4
102,111,0.005205455701798201,5
102,54,0.002627275651320815,6
103,177,0.5739573240280151,1
103,100,0.19677898287773132,2
103,147,0.11857207119464874,3
103,6,0.07276128977537155,4
103,66,0.03234883397817612,5
103,18,0.0027170460671186447,6
104,177,0.9753862023353577,1
104,6,0.02076510526239872,2
105,18,0.6397262811660767,1
105,166,0.32057303190231323,2
105,112,0.02260402962565422,3
105,79,0.015537252649664879,4
106,166,0.47848308086395264,1
106,71,0.2178308069705963,2
106,91,0.15453366935253143,3
106,47,0.0707550123333931,4
106,175,0.054043959826231,5
106,18,0.022356614470481873,6
107,38,0.4216066002845764,1
107,39,0.23747459053993225,2
107,111,0.1462753564119339,3
107,87,0.08433368057012558,4
107,92,0.03442559763789177,5
107,0,0.02925916388630867,6
107,100,0.01381841953843832,7
107,165,0.012069768272340298,8
107,62,0.012052621692419052,9
107,130,0.005170868709683418,10
108,165,0.4953186511993408,1
108,81,0.4077167510986328,2
108,147,0.0573960579931736,3
108,132,0.024184230715036392,4
108,94,0.012089375406503677,5
109,165,0.36198705434799194,1
109,49,0.2485230416059494,2
109,81,0.18909361958503723,3
109,54,0.07568714022636414,4
109,68,0.059442561119794846,5
109,99,0.04323786869645119,6
109,71,0.01622178964316845,7
110,17,0.6148147583007812,1
110,54,0.2956197261810303,2
110,100,0.06089746206998825,3
110,6,0.013667114078998566,4
110,92,0.00870133563876152,5
110,78,0.005003095604479313,6
111,26,0.9341621398925781,1
111,150,0.04229714721441269,2
111,198,0.01924203522503376,3
112,6,0.31881847977638245,1
112,80,0.3053128123283386,2
112,92,0.21615657210350037,3
112,100,0.09194181114435196,4
112,54,0.04055846109986305,5
112,150,0.024323154240846634,6
115,156,0.5062942504882812,1
115,175,0.15496589243412018,2
115,183,0.11341521888971329,3
115,121,0.1134057566523552,4
115,78,0.0719151720404625,5
115,24,0.02876150608062744,6
115,176,0.009588608518242836,7
116,19,0.4706978499889374,1
116,66,0.2731451690196991,2
116,183,0.14260168373584747,3
116,198,0.06528697162866592,4
116,175,0.03268788754940033,5
116,78,0.006919666193425655,6
116,165,0.006895532365888357,7
117,1,0.8459291458129883,1
117,165,0.09482993185520172,2
117,138,0.02709471993148327,3
